,VEH1W
Gm2a,16.47885677
Gmds,16.01110212
Gmfb,16.21091785
Gmppa,17.37471298
Gmppb,16.16768688
Gmpr,14.00866168
Gmpr2,15.06895043
Gmps,15.89213343
Gna11,17.64246234
Gna13,16.69987479
Gna14,12.75642724
Gnai1,17.15125886
Gnai2,18.29774712
Gnao1,15.70878902
Gnaq,16.76742819
Gnas,17.96367831
Gnb1,16.73452681
Gnb2,18.25450977
Gnb2l1,18.3481357
Gnb4,13.92851502
Gne,13.60996812
Gng12,14.64672301
Gng5,16.69582246
Gnpat,14.96240158
Gns,16.48832299
Golga2,16.5547794
Golga3,15.96473307
Golga4,15.4507702
Golga5,14.38664378
Golim4,16.03917172
Golph3,15.78468724
Golt1b,14.76392101
